ROWID,fir_number,brief_facts,crime_category,date_reported,district,police_station,status,latitude,longitude,gravity,crime_major_head,crime_minor_head,court_name,incident_from_date,incident_to_date,info_received_date
1,JYNG-0001/2024,"The complainant reported that while shopping at the Jayanagar market on 01/08/2024 around 7:00 PM, an unknown person snatched her mobile phone worth Rs. 33,000 and disappeared into the crowd towards Koramangala.",UDR,2024-08-02,Bengaluru City,Jayanagar PS,Charge Sheeted,12.918583,77.552031,Non-Heinous,Property Crimes,Mobile Phone Theft,Bengaluru City District Court,2024-08-01 19:47:00,2024-08-01 20:48:00,2024-08-02 21:43:09
2,RMNG-0001/2024,"On 01/08/2024, the complainant bank at Ramanagara Town reported that a borrower availed a gold loan of Rs. 1,743,000 by pledging spurious gold ornaments. The fraud came to light during the annual verification of pledged articles.",FIR,2024-08-03,Ramanagara,Ramanagara Town PS,Under Investigation,12.75976,77.307188,Non-Heinous,Economic Offences,Bank Fraud,Ramanagara District Court,2024-08-01 15:14:00,2024-08-01 16:02:00,2024-08-02 15:06:01
3,JYNG-0002/2024,"The complainant reported that on 01/08/2024 around 11:45 AM his neighbour in Jayanagar, along with two associates, assaulted him over a long-standing civil dispute regarding a shared compound wall. He sustained a fracture to his left hand and has submitted a wound certificate.",FIR,2024-08-02,Bengaluru City,Jayanagar PS,Closed,12.951388,77.541889,Non-Heinous,Crimes Against Body,Assault,Bengaluru City District Court,2024-08-01 11:52:00,2024-08-01 12:55:00,2024-08-02 11:49:49
4,NTTV-0001/2024,"The complainant, a college student from Nittuvalli, reported on 02/08/2024 that an unknown person created a fake profile in her name using her photographs and sent obscene messages to her contacts. The profile was created around 12:15 PM and continues to be active despite reporting.",FIR,2024-08-04,Davanagere,Nittuvalli PS,Closed,14.460129,75.929942,Non-Heinous,Cyber Crimes,Social Media Harassment,Davanagere District Court,2024-08-02 12:08:00,2024-08-02 13:30:00,2024-08-04 10:04:13
5,KTKO-0001/2024,"On the night of 02/08/2024, unknown persons broke the rear door lock of the complainant's residence in Kote and committed theft of gold ornaments and cash totalling Rs. 536,000 while the family was away at their native place. Neighbours reported a silver Swift car parked near the gate around 4:00 AM.",FIR,2024-08-03,Shivamogga,Kote PS,Charge Sheeted,13.94819,75.588176,Non-Heinous,Property Crimes,House Burglary,Shivamogga District Court,2024-08-02 04:31:00,2024-08-02 04:37:00,2024-08-03 12:59:23
6,WHTF-0001/2024,"On 03/08/2024 around 8:45 PM, the accused, harbouring a grudge over an old rivalry, attacked the complainant with a machete near the main road junction in Whitefield, inflicting deep cut injuries on his shoulder and forearm. Passers-by rushed the injured to hospital where his condition is stated to be stable.",FIR,2024-08-06,Bengaluru City,Whitefield PS,Charge Sheeted,13.019843,77.607547,Heinous,Crimes Against Body,Attempt to Murder,Bengaluru City District Court,2024-08-03 20:24:00,2024-08-03 23:28:00,2024-08-04 12:47:09
7,KRMN-0001/2024,"On 03/08/2024, the complainant stated that the accused induced him to pay Rs. 980,000 towards booking a site at Cubbon Park, showing forged layout approval documents. On verification with the authority the layout was found to be unapproved. The accused's office in Koramangala is closed.",FIR,2024-08-03,Bengaluru City,Koramangala PS,Under Investigation,12.947674,77.543146,Non-Heinous,Economic Offences,Cheating,Bengaluru City District Court,2024-08-03 08:49:00,2024-08-03 12:33:00,2024-08-03 23:00:55
8,KYTH-0001/2024,"The complainant of Kyathsandra was added to a trading group on a messaging app in which fraudsters promised 43% monthly returns on stock investments. Between 04/08/2024 and the following weeks he transferred Rs. 1,911,000 to various UPI IDs. When he attempted to withdraw, the app was disabled and the group deleted.",FIR,2024-08-06,Tumakuru,Kyathsandra PS,Under Investigation,13.309473,77.138115,Non-Heinous,Cyber Crimes,Investment Scam,Tumakuru District Court,2024-08-04 08:50:00,2024-08-04 09:42:00,2024-08-06 00:35:36
9,CWLB-0001/2024,"On 04/08/2024 around 1:30 PM, the complainant's mobile phone worth Rs. 27,000 was stolen from his pocket while boarding a crowded bus near the vegetable market in Cowl Bazar. The IMEI number has been noted for tracking.",FIR,2024-08-06,Ballari,Cowl Bazar PS,Under Investigation,15.176245,76.934496,Non-Heinous,Property Crimes,Mobile Phone Theft,Ballari District Court,2024-08-04 13:16:00,2024-08-04 16:15:00,2024-08-05 12:31:32
10,ADRS-0001/2024,The complainant reported that his brother was fatally attacked with machetes by known assailants near Adarsh Nagar around 10:00 AM on 04/08/2024 following a previous enmity over a land dealing in Station Road. He was declared dead at the district hospital. Special teams have been formed to trace the accused.,FIR,2024-08-06,Vijayapura,Adarsh Nagar PS,Charge Sheeted,16.846782,75.728794,Heinous,Crimes Against Body,Murder,Vijayapura District Court,2024-08-04 10:21:00,2024-08-04 14:02:00,2024-08-05 19:27:09
11,HSSN-0001/2024,"On 04/08/2024, the complainant reported that an online acquaintance induced her to invest in a fake cryptocurrency platform showing fabricated profits. She invested Rs. 1,017,000 in tranches from her account in Hassan Town. The platform domain was registered abroad and has since gone offline.",FIR,2024-08-07,Hassan,Hassan Town PS,Charge Sheeted,13.028968,76.10757,Non-Heinous,Cyber Crimes,Investment Scam,Hassan District Court,2024-08-04 22:08:00,2024-08-04 23:29:00,2024-08-06 18:24:27
12,BRKB-0001/2024,"On 05/08/2024 around 8:30 AM, a special team laid a trap near the college gate in Barke and apprehended a peddler with 62 MDMA pills and 43 grams of hydro ganja meant for circulation at parties. Mobile phones recovered indicate contacts with an inter-state supplier.",UDR,2024-08-05,Mangaluru,Barke PS,Charge Sheeted,12.96188,74.890694,Non-Heinous,Narcotics,Synthetic Drugs Peddling,Mangaluru District Court,2024-08-05 08:17:00,2024-08-05 09:57:00,2024-08-05 22:28:57
13,SRGT-0001/2024,"On 05/08/2024 around 4:45 PM, about 32 persons assembled unlawfully near the temple street in Sira Gate in violation of prohibitory orders, blocking the highway and raising slogans over a civic issue. The assembly was dispersed and ringleaders were identified from video footage.",FIR,2024-08-06,Tumakuru,Sira Gate PS,Under Investigation,13.387044,77.14385,Non-Heinous,Public Order,Unlawful Assembly,Tumakuru District Court,2024-08-05 16:34:00,2024-08-05 18:01:00,2024-08-06 00:26:40
